"fare_id","route_id","origin_id","destination_id","contains_id"
"1_2211_1_410_20250315","1_2211_1_20250315","100001_2","100894_1",
"1_2161_1_820_20250315","1_2161_1_20250315","100001_2","100894_1",
"1_1071_1_460_20250315","1_1071_1_20250315","100001_2","100895_1",
"1_1081_1_460_20250315","1_1081_1_20250315","100001_2","100895_1",
"1_1091_1_460_20250315","1_1091_1_20250315","100001_2","100895_1",
"1_1111_1_460_20250315","1_1111_1_20250315","100001_2","100895_1",
"1_2011_1_460_20250315","1_2011_1_20250315","100001_2","100895_1",
"1_2111_1_460_20250315","1_2111_1_20250315","100001_2","100895_1",
"1_2211_1_460_20250315","1_2211_1_20250315","100001_2","100895_1",
"1_2161_1_920_20250315","1_2161_1_20250315","100001_2","100895_1",
"1_1071_1_460_20250315","1_1071_1_20250315","100001_2","100896_1",
"1_1081_1_460_20250315","1_1081_1_20250315","100001_2","100896_1",
"1_1091_1_460_20250315","1_1091_1_20250315","100001_2","100896_1",
"1_1111_1_460_20250315","1_1111_1_20250315","100001_2","100896_1",
"1_2011_1_460_20250315","1_2011_1_20250315","100001_2","100896_1",
"1_2111_1_460_20250315","1_2111_1_20250315","100001_2","100896_1",
"1_2211_1_460_20250315","1_2211_1_20250315","100001_2","100896_1",
"1_2161_1_920_20250315","1_2161_1_20250315","100001_2","100896_1",
"1_1071_1_460_20250315","1_1071_1_20250315","100001_2","100897_1",
"1_1081_1_460_20250315","1_1081_1_20250315","100001_2","100897_1",
"1_1091_1_460_20250315","1_1091_1_20250315","100001_2","100897_1",
"1_1111_1_460_20250315","1_1111_1_20250315","100001_2","100897_1",
"1_2011_1_460_20250315","1_2011_1_20250315","100001_2","100897_1",
"1_2111_1_460_20250315","1_2111_1_20250315","100001_2","100897_1",
"1_2211_1_460_20250315","1_2211_1_20250315","100001_2","100897_1",
"1_2161_1_920_20250315","1_2161_1_20250315","100001_2","100897_1",
"1_1071_1_510_20250315","1_1071_1_20250315","100001_2","100898_1",
"1_1081_1_510_20250315","1_1081_1_20250315","100001_2","100898_1",
"1_1091_1_510_20250315","1_1091_1_20250315","100001_2","100898_1",
"1_1111_1_510_20250315","1_1111_1_20250315","100001_2","100898_1",
"1_2011_1_510_20250315","1_2011_1_20250315","100001_2","100898_1",
"1_2111_1_510_20250315","1_2111_1_20250315","100001_2","100898_1",
"1_2211_1_510_20250315","1_2211_1_20250315","100001_2","100898_1",
"1_2161_1_1020_20250315","1_2161_1_20250315","100001_2","100898_1",
"1_1071_1_510_20250315","1_1071_1_20250315","100001_2","100899_1",
"1_1081_1_510_20250315","1_1081_1_20250315","100001_2","100899_1",
"1_1091_1_510_20250315","1_1091_1_20250315","100001_2","100899_1",
"1_1111_1_510_20250315","1_1111_1_20250315","100001_2","100899_1",
"1_2011_1_510_20250315","1_2011_1_20250315","100001_2","100899_1",
"1_2111_1_510_20250315","1_2111_1_20250315","100001_2","100899_1",
"1_2211_1_510_20250315","1_2211_1_20250315","100001_2","100899_1",
"1_2161_1_1020_20250315","1_2161_1_20250315","100001_2","100899_1",
"1_1071_1_510_20250315","1_1071_1_20250315","100001_2","100900_1",
"1_1081_1_510_20250315","1_1081_1_20250315","100001_2","100900_1",
"1_1091_1_510_20250315","1_1091_1_20250315","100001_2","100900_1",
"1_1111_1_510_20250315","1_1111_1_20250315","100001_2","100900_1",
"1_2011_1_510_20250315","1_2011_1_20250315","100001_2","100900_1",
"1_2111_1_510_20250315","1_2111_1_20250315","100001_2","100900_1",
"1_2211_1_510_20250315","1_2211_1_20250315","100001_2","100900_1",
"1_2161_1_1020_20250315","1_2161_1_20250315","100001_2","100900_1",
"1_1071_1_520_20250315","1_1071_1_20250315","100001_2","100901_1",
"1_1081_1_520_20250315","1_1081_1_20250315","100001_2","100901_1",
"1_1091_1_520_20250315","1_1091_1_20250315","100001_2","100901_1",
"1_1111_1_520_20250315","1_1111_1_20250315","100001_2","100901_1",
"1_2011_1_520_20250315","1_2011_1_20250315","100001_2","100901_1",
"1_2111_1_520_20250315","1_2111_1_20250315","100001_2","100901_1",
"1_2211_1_520_20250315","1_2211_1_20250315","100001_2","100901_1",
"1_2161_1_1040_20250315","1_2161_1_20250315","100001_2","100901_1",
"1_1071_1_580_20250315","1_1071_1_20250315","100001_2","100902_1",
"1_1081_1_580_20250315","1_1081_1_20250315","100001_2","100902_1",
"1_1091_1_580_20250315","1_1091_1_20250315","100001_2","100902_1",
"1_1111_1_580_20250315","1_1111_1_20250315","100001_2","100902_1",
"1_2011_1_580_20250315","1_2011_1_20250315","100001_2","100902_1",
"1_2111_1_580_20250315","1_2111_1_20250315","100001_2","100902_1",
"1_2211_1_580_20250315","1_2211_1_20250315","100001_2","100902_1",
"1_2161_1_1160_20250315","1_2161_1_20250315","100001_2","100902_1",
"1_1071_1_580_20250315","1_1071_1_20250315","100001_2","100903_1",
"1_1081_1_580_20250315","1_1081_1_20250315","100001_2","100903_1",
"1_1091_1_580_20250315","1_1091_1_20250315","100001_2","100903_1",
"1_1111_1_580_20250315","1_1111_1_20250315","100001_2","100903_1",
"1_2011_1_580_20250315","1_2011_1_20250315","100001_2","100903_1",
"1_2111_1_580_20250315","1_2111_1_20250315","100001_2","100903_1",
"1_2211_1_580_20250315","1_2211_1_20250315","100001_2","100903_1",
"1_2161_1_1160_20250315","1_2161_1_20250315","100001_2","100903_1",
"1_1071_1_580_20250315","1_1071_1_20250315","100001_2","100904_1",
"1_1081_1_580_20250315","1_1081_1_20250315","100001_2","100904_1",
"1_1091_1_580_20250315","1_1091_1_20250315","100001_2","100904_1",
"1_1111_1_580_20250315","1_1111_1_20250315","100001_2","100904_1",
"1_2011_1_580_20250315","1_2011_1_20250315","100001_2","100904_1",
"1_2111_1_580_20250315","1_2111_1_20250315","100001_2","100904_1",
"1_2211_1_580_20250315","1_2211_1_20250315","100001_2","100904_1",
"1_2161_1_1160_20250315","1_2161_1_20250315","100001_2","100904_1",
"1_1071_1_640_20250315","1_1071_1_20250315","100001_2","100905_1",
"1_1081_1_640_20250315","1_1081_1_20250315","100001_2","100905_1",
"1_1091_1_640_20250315","1_1091_1_20250315","100001_2","100905_1",
"1_1111_1_640_20250315","1_1111_1_20250315","100001_2","100905_1",
"1_2011_1_640_20250315","1_2011_1_20250315","100001_2","100905_1",
"1_2111_1_640_20250315","1_2111_1_20250315","100001_2","100905_1",
"1_2161_1_1280_20250315","1_2161_1_20250315","100001_2","100905_1",
"1_1071_1_680_20250315","1_1071_1_20250315","100001_2","100906_1",
"1_1081_1_680_20250315","1_1081_1_20250315","100001_2","100906_1",
"1_1091_1_680_20250315","1_1091_1_20250315","100001_2","100906_1",
"1_1111_1_680_20250315","1_1111_1_20250315","100001_2","100906_1",
"1_2011_1_680_20250315","1_2011_1_20250315","100001_2","100906_1",
"1_2111_1_680_20250315","1_2111_1_20250315","100001_2","100906_1",
"1_2161_1_1360_20250315","1_2161_1_20250315","100001_2","100906_1",
"1_1071_1_710_20250315","1_1071_1_20250315","100001_2","100907_1",
"1_1081_1_710_20250315","1_1081_1_20250315","100001_2","100907_1",
"1_1091_1_710_20250315","1_1091_1_20250315","100001_2","100907_1",
"1_1111_1_710_20250315","1_1111_1_20250315","100001_2","100907_1",
"1_2011_1_710_20250315","1_2011_1_20250315","100001_2","100907_1",
"1_2111_1_710_20250315","1_2111_1_20250315","100001_2","100907_1",
"1_2161_1_1420_20250315","1_2161_1_20250315","100001_2","100907_1",
"1_1071_1_710_20250315","1_1071_1_20250315","100001_2","100908_1",
"1_1081_1_710_20250315","1_1081_1_20250315","100001_2","100908_1",
"1_1091_1_710_20250315","1_1091_1_20250315","100001_2","100908_1",
"1_1111_1_710_20250315","1_1111_1_20250315","100001_2","100908_1",
"1_2011_1_710_20250315","1_2011_1_20250315","100001_2","100908_1",
"1_2111_1_710_20250315","1_2111_1_20250315","100001_2","100908_1",
"1_2161_1_1420_20250315","1_2161_1_20250315","100001_2","100908_1",
"1_1071_1_790_20250315","1_1071_1_20250315","100001_2","100909_1",
"1_1081_1_790_20250315","1_1081_1_20250315","100001_2","100909_1",
"1_1091_1_790_20250315","1_1091_1_20250315","100001_2","100909_1",
"1_1111_1_790_20250315","1_1111_1_20250315","100001_2","100909_1",
"1_2011_1_790_20250315","1_2011_1_20250315","100001_2","100909_1",
"1_2111_1_790_20250315","1_2111_1_20250315","100001_2","100909_1",
"1_2161_1_1580_20250315","1_2161_1_20250315","100001_2","100909_1",
"1_1071_1_790_20250315","1_1071_1_20250315","100001_2","100910_1",
"1_1081_1_790_20250315","1_1081_1_20250315","100001_2","100910_1",
"1_1091_1_790_20250315","1_1091_1_20250315","100001_2","100910_1",
"1_1111_1_790_20250315","1_1111_1_20250315","100001_2","100910_1",
"1_2011_1_790_20250315","1_2011_1_20250315","100001_2","100910_1",
"1_2111_1_790_20250315","1_2111_1_20250315","100001_2","100910_1",
"1_2161_1_1580_20250315","1_2161_1_20250315","100001_2","100910_1",
"1_1071_1_790_20250315","1_1071_1_20250315","100001_2","100911_1",
"1_1081_1_790_20250315","1_1081_1_20250315","100001_2","100911_1",
"1_1091_1_790_20250315","1_1091_1_20250315","100001_2","100911_1",
"1_1111_1_790_20250315","1_1111_1_20250315","100001_2","100911_1",
"1_2011_1_790_20250315","1_2011_1_20250315","100001_2","100911_1",
"1_2111_1_790_20250315","1_2111_1_20250315","100001_2","100911_1",
"1_2161_1_1580_20250315","1_2161_1_20250315","100001_2","100911_1",
"1_1071_1_790_20250315","1_1071_1_20250315","100001_2","100912_1",
"1_1081_1_790_20250315","1_1081_1_20250315","100001_2","100912_1",
"1_1091_1_790_20250315","1_1091_1_20250315","100001_2","100912_1",
"1_1111_1_790_20250315","1_1111_1_20250315","100001_2","100912_1",
"1_2011_1_790_20250315","1_2011_1_20250315","100001_2","100912_1",
"1_2111_1_790_20250315","1_2111_1_20250315","100001_2","100912_1",
"1_2161_1_1580_20250315","1_2161_1_20250315","100001_2","100912_1",
"1_1071_1_840_20250315","1_1071_1_20250315","100001_2","100913_1",
"1_1081_1_840_20250315","1_1081_1_20250315","100001_2","100913_1",
"1_1091_1_840_20250315","1_1091_1_20250315","100001_2","100913_1",
"1_1111_1_840_20250315","1_1111_1_20250315","100001_2","100913_1",
"1_2011_1_840_20250315","1_2011_1_20250315","100001_2","100913_1",
"1_2111_1_840_20250315","1_2111_1_20250315","100001_2","100913_1",
"1_2161_1_1680_20250315","1_2161_1_20250315","100001_2","100913_1",
